name	status	comment	aliases
Kidney	ok		
LNCaP cells	new		
Large Intestine	ok		
Left Ventricle	ok		
Lens capsule	ok		
Limb	ok		
Limb Bud	ok		
Liver	ok		
Localized GIST	new		
Lung	ok		
Lymph Node	ok		
Lymphatic Microvascular Endothelial Cell	ok		
Lymphnode	new		
MM1S myeloma cell line	new		
Malignant rhabdoid tumor	new		
Mammary Gland	ok		
Mammary tumor tissue	new		
Mammary tumors	new		
Maxillary arch	ok		
Medial ganglionic eminence	new		
Medulla Oblongata	ok		
Mesendoderm	ok		
Metanephric mesenchyme (cap mesenchyme)	new		
Metastatic GIST	new		
Mid Frontal Lobe	ok		
Midbrain	ok		
Middle Frontal Gyrus	ok		
Mixed CD4 and CD8 CAR-T cells	new		
Mouse Back Skin	ok		
Muscle	ok		
MutuI cell	new		
MutuI-LCL cell	new		
Nasal septum 	ok		
Nasopharynx	ok		
Neocortex	new		
Neural Tube	ok		
Neuric	ok		
Normal-MatureLuminal	new		
Nucleus Accumben	ok		
OCI-LY7 cells	new		
Oesophagus	ok		
Olfactory	ok		
Olfactory Bulb	ok		
Oligodendroglioma	new		
Otic	ok		
Ovaries	new		
Ovary	ok		
PM154 organoids	new		
Pachynema/Diplonema	new		
Pancreas	ok		pancreatic
Pancreatic Islet	ok		pancreatic islets
Pancreatic ductal	ok		
Periodontal Ligament	ok		
Peripheral Blood	new		
Peripheral Lymphoid Organs	new		
Peritoneal Effusion	new		
Peritoneal cavity	ok		
Peritoneum	ok		
Peyer's patch	new		
Pituitary	new		
Pituitary intermediate lobe	new		
Placenta	ok		
Pleura	new		
Pons	ok		
Pontine	ok		
Posterior Fossa	ok		
Prefrontal	ok		
Primary mouse lymphoma	new		
Prostate	ok		
Proximal Forelimbs	ok		
Psoas Muscle	ok		
Pulmonary Artery	ok		
RPMI8226 myeloma cell line	new		
Rectal Mucosa	ok		
Rectum	ok		
Retina	ok		
Rib	ok		
Right Atrium	ok		
Right Ventricle	ok		
Sca1+CD45- cardiac cells	new		
Schlemm's canal	ok		
Secondary lymphoid organs	new		
Sigmoid Colon	ok		
Sinoatrial node 	ok		
Skeletal Muscle	ok		
Skin	ok		
Small Intestine	ok		
Small Intestine Villi	ok		
Smooth Chorionic Membrane	ok		
Snap-frozen tissue	new		
Spg GC-1 cell line	new		
Spinal Cord	ok		
Spinal metastatic tumor	new		
Spleen	ok		splenic
Spleen And Lymph Node	ok		
Spontaneous tumors	new		
Stomach	ok		
Striatum	ok		
Subcutaneous connecive tissue	new		
Superior cervical ganglion	ok		
Supratentorial Ependymoma	new		
Suspension HeLa cells	new		
Synovial Fluid	ok		
THMYCN tumor	new		
Tail	ok		
Tailbuds	new		
Telencephalon	ok		
Testis	ok		
Thymus	ok		Thymic
Thyroid	ok		
Tongue	ok		
Tonsil	ok		
Trabecular meshwork	ok		
Trachea	ok		
Transplanted tumors	new		
Umbilical Cord	ok		
Umbilical Vein	ok		
Upper Limb Muscle	ok		
Ureter	ok		
Urinary Bladder	ok		
Urogenital sinus (UGS)	new		
Urothelium	ok		
Uterus	ok		
adenoid cystic carcinoma (ACC)	new		
adult ventricle apex (distal 1/3)	new		
anterior trunk	new		
autopod	new		
border zone left ventricular nuclei post myocardial infarction	new		
cardiac tissue	new		
caudate nucleus	new		
celiac ganglia	new		
cell line mixture (BJ, GM12878, H1, K562)	new		
chondroblastoma	new		
colonic lamina propria	new		
colorectal cancer cell line	new		
dLN	new		
dentate gyrus	new		
dermis	new		
differentiating hES cells	new		
dissected E12.5 mouse ventricle	new		
dorsal root ganglia (DRG)	new		
dura	new		
eWAT	new		
embryonic facial prominence	new		
endometrioid adenocarcinoma	new		
epithelioid sarcoma	new		
ganglionic gut	new		
gastrocnemius medialis	new		
gastroesophageal sphincter	new		
hTert-HME1 cell line	new		
haematopoietic progenitors	new		
head	new		
hiPSC-derived lt-NES	new		
hippocampal cell line	new		
human erythroleukemic cell line	new		
human primary effusion lymphoma	new		
iWAT	new		
inferior parietal cortex	new		
intestinal organoid	new		
intestinal villus	ok		
jejunum	new		
lateral temporal lobe	new		
lens	ok		
lesion	new		
malignant melanoma, noncutaneous metastasis	new		
many tissues represented	new		
mature thymocytes	new		
meningioma	new		
mesenchyme	new		
molar	new		
mouse incisor pulp	new		
myometrial tissue	new		
non-epithelial cochlear cells	new		
occipital lobe	new		
omental fat pad	new		
optic cups	ok		
ovarian	new		
pharynx	new		
plasmid	new		
primary Wilms tumor sample	new		
primary colorectal cancer tumor	new		
primary medulloblastoma	new		
proximal Epiblast	new		
putamen	new		
quadriceps myofibers	new		
right cardiac atrium	new		
right hemisphere	new		
seedlings	new		
sham operated left ventricular nuclei	new		
superior cervical ganglia	new		
superior temporal gyrus	new		
testes	new		
tibial nerve	new		
tibialis anterior	new		
transitional cell papilloma	new		
uterine leiomyosarcoma	new		
vagina	new		
visceral yolk sac	ok		
wild type	new		
yolk sac	new		
